20181330-20:13:17:432067034 0*65
20181330-20:13:17:436751201 $GNGLL,,,,,,V,N*7A
20181330-20:13:17:441731409 $GNZDA,,,,,00,00*56
20181330-20:13:18:071166722 $GNRMC,,V,,,,,,,,,,N*4D
20181330-20:13:18:075832399 $GNVTG,,,,,,,,,N*2E
20181330-20:13:18:080597190 $GNGGA,,,,,,0,00,99.99,,,,,,*56
20181330-20:13:18:177023545 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:18:182578128 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:18:187391045 $GPGSV,1,1,00*79
20181330-20:13:18:432039847 $GLGSV,1,1,00*65
20181330-20:13:18:436622503 $GNGLL,,,,,,V,N*7A
20181330-20:13:18:441321253 $GNZDA,,,,,00,00*56
20181330-20:13:19:071843023 $GNRMC,,V,,,,,,,,,,N*4D
20181330-20:13:19:076475419 $GNVTG,,,,,,,,,N*2E
20181330-20:13:19:081870107 $GNGGA,,,,,,0,00,99.99,,,,,,*56
20181330-20:13:19:176375992 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:19:181784794 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:19:186943857 $GPGSV,1,1,00*79
20181330-20:13:19:432260211 $GLGSV,1,1,00*65
20181330-20:13:19:437003805 $GNGLL,,,,,,V,N*7A
20181330-20:13:19:442040263 $GNZDA,,,,,00,00*56
20181330-20:13:20:072362346 $GNRMC,,V,,,,,,,,,,N*4D
20181330-20:13:20:077130106 $GNVTG,,,,,,,,,N*2E
20181330-20:13:20:081917919 $GNGGA,,,,,,0,00,99.99,,,,,,*56
20181330-20:13:20:176351877 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:20:181200002 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:20:185873492 $GPGSV,1,1,00*79
20181330-20:13:20:432109585 $GLGSV,1,1,00*65
