20181930-20:19:06:674577076 9
20181930-20:19:06:679477961 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:06:684529888 $GPGSV,1,1,04,02,,,20,05,,,29,26,,,26,29,,,33*78
20181930-20:19:06:964497440 $GLGSV,1,1,00*65
20181930-20:19:06:969061138 $GNGLL,,,,,042657.00,V,N*56
20181930-20:19:06:973853274 $GNZDA,042657.00,31,01,2018,00,00*72
20181930-20:19:07:522333742 $GNRMC,042658.00,V,,,,,,,310118,,,N*64
20181930-20:19:07:527081607 $GNVTG,,,,,,,,,N*2E
20181930-20:19:07:626208690 $GNGGA,042658.00,,,,,0,00,99.99,,,,,,*75
20181930-20:19:07:631197284 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:07:636076086 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:07:730508377 $GPGSV,1,1,04,02,,,18,05,,,28,26,,,24,29,,,32*71
20181930-20:19:07:736280929 $GLGSV,1,1,00*65
20181930-20:19:07:741203482 $GNGLL,,,,,042658.00,V,N*59
20181930-20:19:07:964752596 $GNZDA,042658.00,31,01,2018,00,00*7D
20181930-20:19:08:523996190 $GNRMC,042659.00,V,,,,,,,310118,,,N*65
20181930-20:19:08:528798638 $GNVTG,,,,,,,,,N*2E
20181930-20:19:08:627948481 $GNGGA,042659.00,,,,,0,00,99.99,,,,,,*74
20181930-20:19:08:632835617 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:08:637684262 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:08:732617127 $GPGSV,1,1,04,02,,,20,05,,,31,26,,,22,29,,,33*75
20181930-20:19:08:737648012 $GLGSV,1,1,00*65
20181930-20:19:08:742803273 $GNGLL,,,,,042659.00,V,N*58
20181930-20:19:08:964564367 $GNZDA,042659.00,31,01,2018,00,00*7C
20181930-20:19:09:527982908 $GNRMC,042700.00,V,,,,,,,310118,,,N*68
20181930-20:19:09:533122543 $GNVTG,,,,,,,,,N*2E
20181930-20:19:09:632032022 $GNGGA,042700.00,,,,,0,00,99.99,,,,,,*79
20181930-20:19:09:636885981 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:09:641722700 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:09:736313272 $GPGSV,1,1,04,02,,,23,05,,,30,26,,,30,29,,,34*73
20181930-20:19:09:741238689 $GLGSV,1,1,01,,,,36*61
20181930-20:19:09:746087856 $GNGLL,,,,,042700.00,V,N*55
20181930-20:19:09:974447543 $GNZDA,042700.00,31,01,2018,00,00*71
20181930-20:19:10:447864314 $GNRMC,042701.00,V,,,,,,,310118,,,N*69
20181930-20:19:10:452751918 $GNVTG,,,,,,,,,N*2E
20181930-20:19:10:551782283 $GNGGA,042701.00,,,,,0,00,99.99,,,,,,*78
20181930-20:19:10:556917230 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:10:561941918 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:10:655930824 $GPGSV,1,1,04,02,,,31,05,,,30,26,,,31,29,,,35*70
20181930-20:19:10:660822387 $GLGSV,1,1,01,,,,36*61
20181930-20:19:10:665554210 $GNGLL,,,,,042701.00,V,N*54
20181930-20:19:10:894538064 $GNZDA,042701.00,31,01,2018,00,00*70
20181930-20:19:11:527098168 $GNRMC,042702.00,V,,,,,,,310118,,,N*6A
20181930-20:19:11:532021136 $GNVTG,,,,,,,,,N*2E
20181930-20:19:11:631155928 $GNGGA,042702.00,,,,,0,00,99.99,,,,,,*7B
20181930-20:19:11:636019365 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:11:640936865 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:11:735249678 $GPGSV,1,1,04,02,,,29,05,,,29,26,,,32,29,,,35*72
20181930-20:19:11:739969522 $GLGSV,1,1,01,,,,36*61
20181930-20:19:11:744720928 $GNGLL,,,,,042702.00,V,N*57
20181930-20:19:11:974921188 $GNZDA,042702.00,31,01,2018,00,00*73
20181930-20:19:12:525992178 $GNRMC,042703.00,V,,,,,,,310118,,,N*6B
20181930-20:19:12:530944365 $GNVTG,,,,,,,,,N*2E
20181930-20:19:12:629666240 $GNGGA,042703.00,,,,,0,00,99.99,,,,,,*7A
20181930-20:19:12:634565251 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:12:639437959 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:12:734028948 $GPGSV,1,1,04,02,,,19,05,,,21,26,,,33,29,,,37*7A
20181930-20:19:12:738820250 $GLGSV,1,1,01,,,,37*60
20181930-20:19:12:744070459 $GNGLL,,,,,042703.00,V,N*56
20181930-20:19:12:974482334 $GNZDA,042703.00,31,01,2018,00,00*72
20181930-20:19:13:529058688 $GNRMC,042704.00,V,,,,,,,310118,,,N*6C
20181930-20:19:13:534104729 $GNVTG,,,,,,,,,N*2E
20181930-20:19:13:633037438 $GNGGA,042704.00,,,,,0,00,99.99,,,,,,*7D
20181930-20:19:13:637946396 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:13:643163479 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:13:737189521 $GPGSV,1,1,04,02,,,16,05,,,29,26,,,32,29,,,35*7E
20181930-20:19:13:742053011 $GLGSV,1,1,01,,,,37*60
20181930-20:19:13:747034365 $GNGLL,,,,,042704.00,V,N*51
20181930-20:19:13:974550667 $GNZDA,042704.00,31,01,2018,00,00*75
20181930-20:19:14:526281760 $GNRMC,042705.00,V,,,,,,,310118,,,N*6D
20181930-20:19:14:531428739 $GNVTG,,,,,,,,,N*2E
20181930-20:19:14:630233114 $GNGGA,042705.00,,,,,0,00,99.99,,,,,,*7C
20181930-20:19:14:635224677 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:14:640217958 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:14:734541239 $GPGSV,1,1,04,02,,,20,05,,,36,26,,,30,29,,,35*77
20181930-20:19:14:739259833 $GLGSV,1,1,01,,,,36*61
20181930-20:19:14:743986343 $GNGLL,,,,,042705.00,V,N*50
20181930-20:19:14:974560718 $GNZDA,042705.00,31,01,2018,00,00*74
20181930-20:19:15:526087489 $GNRMC,042706.00,V,,,,,,,310118,,,N*6E
20181930-20:19:15:530877906 $GNVTG,,,,,,,,,N*2E
20181930-20:19:15:629828270 $GNGGA,042706.00,,,,,0,00,99.99,,,,,,*7F
20181930-20:19:15:634820145 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:15:639542593 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:15:734281812 $GPGSV,1,1,04,02,,,25,05,,,36,26,,,30,29,,,35*72
20181930-20:19:15:739027281 $GLGSV,1,1,01,,,,33*64
20181930-20:19:15:743889728 $GNGLL,,,,,042706.00,V,N*53
20181930-20:19:15:974534312 $GNZDA,042706.00,31,01,2018,00,00*77
20181930-20:19:16:528235197 $GNRMC,042707.00,V,,,,,,,310118,,,N*6F
20181930-20:19:16:533342176 $GNVTG,,,,,,,,,N*2E
20181930-20:19:16:632057124 $GNGGA,042707.00,,,,,0,00,99.99,,,,,,*7E
20181930-20:19:16:637286499 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:16:642415249 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:16:736133426 $GPGSV,1,1,04,02,,,22,05,,,21,26,,,34,29,,,36*74
20181930-20:19:16:741089624 $GLGSV,1,1,01,,,,38*6F
20181930-20:19:16:745846707 $GNGLL,,,,,042707.00,V,N*52
20181930-20:19:16:974613947 $GNZDA,042707.00,31,01,2018,00,00*76
20181930-20:19:17:528733947 $GNRMC,042708.00,V,,,,,,,310118,,,N*60
20181930-20:19:17:533380405 $GNVTG,,,,,,,,,N*2E
20181930-20:19:17:632922176 $GNGGA,042708.00,,,,,0,00,99.99,,,,,,*71
20181930-20:19:17:637751134 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:17:642460822 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:17:737008582 $GPGSV,1,1,04,02,,,29,05,,,28,26,,,28,29,,,29*75
20181930-20:19:17:741843113 $GLGSV,1,1,01,,,,37*60
20181930-20:19:17:746608842 $GNGLL,,,,,042708.00,V,N*5D
20181930-20:19:17:974743426 $GNZDA,042708.00,31,01,2018,00,00*79
20181930-20:19:18:525675561 $GNRMC,042709.00,V,,,,,,,310118,,,N*61
20181930-20:19:18:530375613 $GNVTG,,,,,,,,,N*2E
20181930-20:19:18:629802488 $GNGGA,042709.00,,,,,0,00,99.99,,,,,,*70
20181930-20:19:18:634755509 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:18:639501134 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:18:734036342 $GPGSV,1,1,04,02,,,29,05,,,20,26,,,12,29,,,29*74
20181930-20:19:18:738856186 $GLGSV,1,1,01,,,,39*6E
20181930-20:19:18:743671238 $GNGLL,,,,,042709.00,V,N*5C
20181930-20:19:18:974697488 $GNZDA,042709.00,31,01,2018,00,00*78
20181930-20:19:19:528032644 $GNRMC,042710.00,V,,,,,,,310118,,,N*69
20181930-20:19:19:532948685 $GNVTG,,,,,,,,,N*2E
20181930-20:19:19:631904154 $GNGGA,042710.00,,,,,0,00,99.99,,,,,,*78
20181930-20:19:19:636730404 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:19:641719935 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:19:736042019 $GPGSV,1,1,04,02,,,27,05,,,30,26,,,19,29,,,36*7E
20181930-20:19:19:740976394 $GLGSV,1,1,01,82,,,42*68
20181930-20:19:19:745698737 $GNGLL,,,,,042710.00,V,N*54
20181930-20:19:19:974668321 $GNZDA,042710.00,31,01,2018,00,00*70
20181930-20:19:20:527522279 $GNRMC,042711.00,V,,,,,,,310118,,,N*68
20181930-20:19:20:532489050 $GNVTG,,,,,,,,,N*2E
20181930-20:19:20:631508945 $GNGGA,042711.00,,,,,0,00,99.99,,,,,,*79
20181930-20:19:20:636375977 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:20:641210508 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:20:735518060 $GPGSV,1,1,04,02,,,25,05,,,30,26,,,18,29,,,34*7F
20181930-20:19:20:740095768 $GLGSV,1,1,01,82,,,42*68
20181930-20:19:20:744902695 $GNGLL,,,,,042711.00,V,N*55
20181930-20:19:20:974699883 $GNZDA,042711.00,31,01,2018,00,00*71
20181930-20:19:21:528278893 $GNRMC,042712.00,V,,,,,,,310118,,,N*6B
20181930-20:19:21:533191497 $GNVTG,,,,,,,,,N*2E
20181930-20:19:21:632436497 $GNGGA,042712.00,,,,,0,00,99.99,,,,,,*7A
20181930-20:19:21:637311080 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:21:642116445 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:21:736594257 $GPGSV,1,1,04,02,,,24,05,,,31,26,,,29,29,,,34*7D
20181930-20:19:21:741331810 $GLGSV,1,1,01,82,,,40*6A
20181930-20:19:21:746085247 $GNGLL,,,,,042712.00,V,N*56
20181930-20:19:21:974583059 $GNZDA,042712.00,31,01,2018,00,00*72
20181930-20:19:22:538074413 $GNRMC,042713.00,V,,,,,,,310118,,,N*6A
20181930-20:19:22:542976497 $GNVTG,,,,,,,,,N*2E
20181930-20:19:22:642017799 $GNGGA,042713.00,,,,,0,00,99.99,,,,,,*7B
20181930-20:19:22:646848163 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:22:652132851 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:22:746135663 $GPGSV,1,1,04,02,,,24,05,,,32,26,,,28,29,,,31*7A
20181930-20:19:22:751003736 $GLGSV,1,1,01,82,,,37*6A
20181930-20:19:22:755632434 $GNGLL,,,,,042713.00,V,N*57
20181930-20:19:22:984732278 $GNZDA,042713.00,31,01,2018,00,00*73
20181930-20:19:23:521914778 $GNRMC,042714.00,V,,,,,,,310118,,,N*6D
20181930-20:19:23:526691496 $GNVTG,,,,,,,,,N*2E
20181930-20:19:23:625789100 $GNGGA,042714.00,,,,,0,00,99.99,,,,,,*7C
20181930-20:19:23:630809257 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:23:635522746 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:23:729994257 $GPGSV,1,1,04,02,,,24,05,,,35,26,,,30,29,,,35*70
20181930-20:19:23:734907590 $GLGSV,1,1,01,82,,,41*6B
20181930-20:19:23:739530663 $GNGLL,,,,,042714.00,V,N*50
20181930-20:19:23:974659465 $GNZDA,042714.00,31,01,2018,00,00*74
20181930-20:19:24:520375402 $GNRMC,042715.00,V,,,,,,,310118,,,N*6C
20181930-20:19:24:525320715 $GNVTG,,,,,,,,,N*2E
20181930-20:19:24:624233163 $GNGGA,042715.00,,,,,0,00,99.99,,,,,,*7D
20181930-20:19:24:629173892 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:24:634038683 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:24:728358319 $GPGSV,1,1,04,02,,,27,05,,,32,26,,,30,29,,,37*76
20181930-20:19:24:733087277 $GLGSV,1,1,01,82,,,42*68
20181930-20:19:24:737694360 $GNGLL,,,,,042715.00,V,N*51
20181930-20:19:24:974683423 $GNZDA,042715.00,31,01,2018,00,00*75
20181930-20:19:25:527725141 $GNRMC,042716.00,V,,,,,,,310118,,,N*6F
20181930-20:19:25:532704100 $GNVTG,,,,,,,,,N*2E
20181930-20:19:25:631701027 $GNGGA,042716.00,,,,,0,00,99.99,,,,,,*7E
20181930-20:19:25:636608996 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:25:641849621 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:25:736060298 $GPGSV,1,1,04,02,,,18,05,,,26,26,,,28,29,,,38*79
20181930-20:19:25:741180246 $GLGSV,1,1,01,82,,,43*69
20181930-20:19:25:752856339 $GNGLL,,,,,042716.00,V,N*52
20181930-20:19:25:974717798 $GNZDA,042716.00,31,01,2018,00,00*76
20181930-20:19:26:538770506 $GNRMC,042717.00,V,,,,,,,310118,,,N*6E
20181930-20:19:26:543479516 $GNVTG,,,,,,,,,N*2E
20181930-20:19:26:643193943 $GNGGA,042717.00,,,,,0,00,99.99,,,,,,*7F
20181930-20:19:26:648709568 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
