20181930-20:19:06:030463066 ,,,,99.99,99.99,99.99*2E
20181930-20:19:06:035489055 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:06:134585149 $GPGSV,2,1,07,02,,,37,04,,,33,05,,,42,12,,,28*75
20181930-20:19:06:139521451 $GPGSV,2,2,07,13,,,25,20,,,38,29,,,37*7D
20181930-20:19:06:144528847 $GLGSV,1,1,02,,,,42,,,,41*64
20181930-20:19:06:395388117 $GNGLL,,,,,034127.00,V,N*57
20181930-20:19:06:400058690 $GNZDA,034127.00,,,,00,00*7B
20181930-20:19:06:904048482 $GNRMC,034128.00,V,,,,,,,,,,N*6F
20181930-20:19:06:908902180 $GNVTG,,,,,,,,,N*2E
20181930-20:19:06:913760149 $GNGGA,034128.00,,,,,0,00,99.99,,,,,,*74
20181930-20:19:07:008007648 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:07:013035826 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:07:112205930 $GPGSV,2,1,07,02,,,37,04,,,34,05,,,41,12,,,33*7B
20181930-20:19:07:117164680 $GPGSV,2,2,07,13,,,21,20,,,38,29,,,39*77
20181930-20:19:07:385337596 $GLGSV,1,1,02,,,,41,,,,40*66
20181930-20:19:07:390126346 $GNGLL,,,,,034128.00,V,N*58
20181930-20:19:07:394985200 $GNZDA,034128.00,,,,00,00*74
20181930-20:19:07:896943586 $GNRMC,034129.00,V,,,,,,,,,,N*6E
20181930-20:19:07:901920356 $GNVTG,,,,,,,,,N*2E
20181930-20:19:07:906723169 $GNGGA,034129.00,,,,,0,00,99.99,,,,,,*75
20181930-20:19:08:000983638 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:08:006094367 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:08:105322023 $GPGSV,2,1,07,02,,,37,04,,,34,05,,,40,12,,,25*7D
20181930-20:19:08:110005721 $GPGSV,2,2,07,13,,,18,20,,,38,29,,,39*7D
20181930-20:19:08:385390877 $GLGSV,1,1,02,,,,41,,,,40*66
20181930-20:19:08:390099263 $GNGLL,,,,,034129.00,V,N*59
20181930-20:19:08:394916346 $GNZDA,034129.00,,,,00,00*75
20181930-20:19:08:903913481 $GNRMC,034130.00,V,,,,,,,,,,N*66
20181930-20:19:08:908686450 $GNVTG,,,,,,,,,N*2E
20181930-20:19:08:913634054 $GNGGA,034130.00,,,,,0,00,99.99,,,,,,*7D
20181930-20:19:09:007812127 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:09:012773012 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:09:111965356 $GPGSV,2,1,07,02,,,37,04,,,32,05,,,39,12,,,34*75
20181930-20:19:09:116726137 $GPGSV,2,2,07,13,,,15,20,,,33,29,,,36*74
20181930-20:19:09:385402231 $GLGSV,1,1,02,,,,40,,,,40*67
20181930-20:19:09:390150668 $GNGLL,,,,,034130.00,V,N*51
20181930-20:19:09:394936866 $GNZDA,034130.00,,,,00,00*7D
20181930-20:19:09:909521866 $GNRMC,034131.00,V,,,,,,,,,,N*67
20181930-20:19:09:914448481 $GNVTG,,,,,,,,,N*2E
20181930-20:19:09:919290147 $GNGGA,034131.00,,,,,0,00,99.99,,,,,,*7C
20181930-20:19:10:013611554 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:10:018484054 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:10:117657699 $GPGSV,2,1,07,02,,,35,04,,,33,05,,,40,12,,,34*78
20181930-20:19:10:122565356 $GPGSV,2,2,07,13,,,10,20,,,35,29,,,39*78
20181930-20:19:10:395281970 $GLGSV,1,1,02,,,,33,,,,40*63
20181930-20:19:10:399985251 $GNGLL,,,,,034131.00,V,N*50
20181930-20:19:10:404703741 $GNZDA,034131.00,,,,00,00*7C
20181930-20:19:10:915306137 $GNRMC,034132.00,V,,,,,,,,,,N*64
20181930-20:19:10:920127751 $GNVTG,,,,,,,,,N*2E
20181930-20:19:10:924977699 $GNGGA,034132.00,,,,,0,00,99.99,,,,,,*7F
20181930-20:19:11:019194678 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:11:023959105 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:11:123496189 $GPGSV,2,1,07,02,,,36,04,,,36,05,,,37,12,,,35*7F
20181930-20:19:11:128280668 $GPGSV,2,2,07,13,,,07,20,,,34,29,,,36*70
20181930-20:19:11:405470928 $GLGSV,1,1,03,,,,33,,,,39,,,,38*67
20181930-20:19:11:410143949 $GNGLL,,,,,034132.00,V,N*53
20181930-20:19:11:414825980 $GNZDA,034132.00,,,,00,00*7F
20181930-20:19:11:907754157 $GNRMC,034133.00,V,,,,,,,,,,N*65
20181930-20:19:11:912716292 $GNVTG,,,,,,,,,N*2E
