20184803-15:48:50:221347336 A,,,99.99,99.99,99.99*2E
20184803-15:48:50:226397075 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184803-15:48:50:231120982 $GPGSV,1,1,00*79
20184803-15:48:50:479133013 $GLGSV,1,1,00*65
20184803-15:48:50:483982440 $GNGLL,,,,,,V,N*7A
20184803-15:48:50:488991867 $GNZDA,,,,,00,00*56
20184803-15:48:51:120218221 $GNRMC,,V,,,,,,,,,,N*4D
20184803-15:48:51:124938846 $GNVTG,,,,,,,,,N*2E
20184803-15:48:51:130038273 $GNGGA,,,,,,0,00,99.99,,,,,,*56
20184803-15:48:51:224493169 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184803-15:48:51:229462700 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184803-15:48:51:234129783 $GPGSV,1,1,00*79
20184803-15:48:51:479090408 $GLGSV,1,1,00*65
20184803-15:48:51:483848429 $GNGLL,,,,,,V,N*7A
20184803-15:48:51:488532648 $GNZDA,,,,,00,00*56
20184803-15:48:52:121020773 $GNRMC,,V,,,,,,,,,,N*4D
20184803-15:48:52:126208064 $GNVTG,,,,,,,,,N*2E
20184803-15:48:52:131169523 $GNGGA,,,,,,0,00,99.99,,,,,,*56
20184803-15:48:52:224949523 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184803-15:48:52:229978168 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184803-15:48:52:234626762 $GPGSV,1,1,00*79
20184803-15:48:52:479240148 $GLGSV,1,1,00*65
20184803-15:48:52:484147231 $GNGLL,,,,,,V,N*7A
20184803-15:48:52:489038845 $GNZDA,,,,,00,00*56
20184803-15:48:53:119093168 $GNRMC,,V,,,,,,,,,,N*4D
20184803-15:48:53:124052335 $GNVTG,,,,,,,,,N*2E
20184803-15:48:53:129355408 $GNGGA,,,,,,0,00,99.99,,,,,,*56
20184803-15:48:53:224463949 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184803-15:48:53:229706554 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184803-15:48:53:234632231 $GPGSV,1,1,00*79
20184803-15:48:53:479155824 $GLGSV,1,1,00*65
20184803-15:48:53:484046501 $GNGLL,,,,,,V,N*7A
20184803-15:48:53:488877543 $GNZDA,,,,,00,00*56
20184803-15:48:54:119572178 $GNRMC,,V,,,,,,,,,,N*4D
20184803-15:48:54:124636449 $GNVTG,,,,,,,,,N*2E
20184803-15:48:54:129788428 $GNGGA,,,,,,0,00,99.99,,,,,,*56
20184803-15:48:54:223483064 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184803-15:48:54:228642491 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184803-15:48:54:233573011 $GPGSV,1,1,00*79
20184803-15:48:54:479103272 $GLGSV,1,1,00*65
20184803-15:48:54:483831501 $GNGLL,,,,,,V,N*7A
20184803-15:48:54:488724938 $GNZDA,,,,,00,00*56
20184803-15:48:55:121421709 $GNRMC,,V,,,,,,,,,,N*4D
20184803-15:48:55:126804938 $GNVTG,,,,,,,,,N*2E
20184803-15:48:55:133440147 $GNGGA,,,,,,0,00,99.99,,,,,,*56
20184803-15:48:55:225550667 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184803-15:48:55:230403115 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184803-15:48:55:235089261 $GPGSV,1,1,00*79
20184803-15:48:55:479248219 $GLGSV,1,1,00*65
20184803-15:48:55:484232907 $GNGLL,,,,,,V,N*7A
20184803-15:48:55:489191917 $GNZDA,,,,,00,00*56
20184803-15:48:56:120559677 $GNRMC,,V,,,,,,,,,,N*4D
20184803-15:48:56:125843011 $GNVTG,,,,,,,,,N*2E
20184803-15:48:56:130845563 $GNGGA,,,,,,0,00,99.99,,,,,,*56
20184803-15:48:56:224664729 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184803-15:48:56:229646657 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184803-15:48:56:234413063 $GPGSV,1,1,00*79
20184803-15:48:56:479092021 $GLGSV,1,1,00*65
20184803-15:48:56:483885354 $GNGLL,,,,,,V,N*7A
20184803-15:48:56:488729677 $GNZDA,,,,,00,00*56
20184803-15:48:57:121256969 $GNRMC,,V,,,,,,,,,,N*4D
20184803-15:48:57:126596760 $GNVTG,,,,,,,,,N*2E
20184803-15:48:57:131665510 $GNGGA,,,,,,0,00,99.99,,,,,,*56
20184803-15:48:57:225036396 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184803-15:48:57:230122281 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184803-15:48:57:234750094 $GPGSV,1,1,00*79
20184803-15:48:57:479045719 $GLGSV,1,1,00*65
20184803-15:48:57:483734312 $GNGLL,,,,,,V,N*7A
20184803-15:48:57:488591552 $GNZDA,,,,,00,00*56
20184803-15:48:58:121369208 $GNRMC,,V,,,,,,,,,,N*4D
20184803-15:48:58:126511291 $GNVTG,,,,,,,,,N*2E
20184803-15:48:58:131752489 $GNGGA,,,,,,0,00,99.99,,,,,,*56
20184803-15:48:58:225465718 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184803-15:48:58:230361343 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184803-15:48:58:235250250 $GPGSV,1,1,00*79
20184803-15:48:58:479244208 $GLGSV,1,1,00*65
20184803-15:48:58:483899156 $GNGLL,,,,,,V,N*7A
20184803-15:48:58:488553791 $GNZDA,,,,,00,00*56
20184803-15:48:59:121854572 $GNRMC,,V,,,,,,,,,,N*4D
20184803-15:48:59:127140874 $GNVTG,,,,,,,,,N*2E
20184803-15:48:59:132166916 $GNGGA,,,,,,0,00,99.99,,,,,,*56
20184803-15:48:59:226319572 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184803-15:48:59:231345874 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184803-15:48:59:499111759 $GPGSV,1,1,02,07,,,23,18,,,24*72
20184803-15:48:59:503909520 $GLGSV,1,1,00*65
20184803-15:48:59:508674520 $GNGLL,,,,,,V,N*7A
20184803-15:48:59:513498166 $GNZDA,,,,,00,00*56
20184903-15:49:00:123001238 $GNRMC,,V,,,,,,,,,,N*4D
20184903-15:49:00:128258113 $GNVTG,,,,,,,,,N*2E
20184903-15:49:00:133502801 $GNGGA,,,,,,0,00,99.99,,,,,,*56
20184903-15:49:00:227176395 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184903-15:49:00:232171499 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184903-15:49:00:237027697 $GPGSV,1,1,01,07,,,19*77
20184903-15:49:00:489133322 $GLGSV,1,1,00*65
20184903-15:49:00:494047749 $GNGLL,,,,,,V,N*7A
20184903-15:49:00:499040040 $GNZDA,,,,,00,00*56
20184903-15:49:01:121506915 $GNRMC,,V,,,,,,,,,,N*4D
20184903-15:49:01:126324519 $GNVTG,,,,,,,,,N*2E
20184903-15:49:01:131343894 $GNGGA,,,,,,0,00,99.99,,,,,,*56
20184903-15:49:01:225628009 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184903-15:49:01:230466707 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184903-15:49:01:235409780 $GPGSV,1,1,01,07,,,15*7B
20184903-15:49:01:489462384 $GLGSV,1,1,00*65
20184903-15:49:01:494359363 $GNGLL,,,,,,V,N*7A
20184903-15:49:01:499263530 $GNZDA,,,,,00,00*56
