20181726-14:17:20:965314888 45.00,V,,,,,,,260118,,,N*6C
20181726-14:17:20:970266242 $GNVTG,,,,,,,,,N*2E
20181726-14:17:20:975162075 $GNGGA,033245.00,,,,,0,00,99.99,,,,,,*7B
20181726-14:17:21:069363169 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:21:074299836 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:21:173531294 $GPGSV,2,1,05,02,,,41,05,,,35,06,,,35,12,,,36*7D
20181726-14:17:21:178181815 $GPGSV,2,2,05,13,,,42*78
20181726-14:17:21:183165565 $GLGSV,1,1,00*65
20181726-14:17:21:425004888 $GNGLL,,,,,033245.00,V,N*57
20181726-14:17:21:429680252 $GNZDA,033245.00,26,01,2018,00,00*75
20181726-14:17:21:962161814 $GNRMC,033246.00,V,,,,,,,260118,,,N*6F
20181726-14:17:21:966899367 $GNVTG,,,,,,,,,N*2E
20181726-14:17:22:066193741 $GNGGA,033246.00,,,,,0,00,99.99,,,,,,*78
20181726-14:17:22:071335044 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:22:076237387 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:22:170235929 $GPGSV,2,1,05,02,,,41,05,,,35,06,,,33,12,,,41*7B
20181726-14:17:22:175392700 $GPGSV,2,2,05,13,,,41*7B
20181726-14:17:22:180378637 $GLGSV,1,1,00*65
20181726-14:17:22:434953116 $GNGLL,,,,,033246.00,V,N*54
20181726-14:17:22:439539679 $GNZDA,033246.00,26,01,2018,00,00*76
20181726-14:17:22:962774783 $GNRMC,033247.00,V,,,,,,,260118,,,N*6E
20181726-14:17:22:967629574 $GNVTG,,,,,,,,,N*2E
20181726-14:17:23:066826918 $GNGGA,033247.00,,,,,0,00,99.99,,,,,,*79
20181726-14:17:23:071979158 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:23:076876189 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:23:170925147 $GPGSV,2,1,05,02,,,38,05,,,35,06,,,33,12,,,40*74
20181726-14:17:23:175814679 $GPGSV,2,2,05,13,,,42*78
20181726-14:17:23:180753741 $GLGSV,1,1,00*65
20181726-14:17:23:434955251 $GNGLL,,,,,033247.00,V,N*55
20181726-14:17:23:439609731 $GNZDA,033247.00,26,01,2018,00,00*77
20181726-14:17:23:965851866 $GNRMC,033248.00,V,,,,,,,260118,,,N*61
20181726-14:17:23:970933897 $GNVTG,,,,,,,,,N*2E
20181726-14:17:24:069500303 $GNGGA,033248.00,,,,,0,00,99.99,,,,,,*76
20181726-14:17:24:074258116 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:24:079181137 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:24:173789209 $GPGSV,2,1,05,02,,,38,05,,,38,06,,,34,12,,,40*7E
20181726-14:17:24:178702491 $GPGSV,2,2,05,13,,,41*7B
20181726-14:17:24:183633480 $GLGSV,1,1,00*65
20181726-14:17:24:435040095 $GNGLL,,,,,033248.00,V,N*5A
20181726-14:17:24:439679261 $GNZDA,033248.00,26,01,2018,00,00*78
20181726-14:17:24:954937022 $GNRMC,033249.00,V,,,,,,,260118,,,N*60
20181726-14:17:24:959847178 $GNVTG,,,,,,,,,N*2E
20181726-14:17:25:060170615 $GNGGA,033249.00,,,,,0,00,99.99,,,,,,*77
20181726-14:17:25:065148167 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:25:070182334 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:25:164312647 $GPGSV,2,1,05,02,,,38,05,,,37,06,,,30,12,,,40*75
20181726-14:17:25:169123636 $GPGSV,2,2,05,13,,,42*78
20181726-14:17:25:173997074 $GLGSV,1,1,01,,,,30*67
20181726-14:17:25:435087594 $GNGLL,,,,,033249.00,V,N*5B
20181726-14:17:25:439821657 $GNZDA,033249.00,26,01,2018,00,00*79
20181726-14:17:25:950898219 $GNRMC,033250.00,V,,,,,,,260118,,,N*68
20181726-14:17:25:955894573 $GNVTG,,,,,,,,,N*2E
20181726-14:17:26:054883636 $GNGGA,033250.00,,,,,0,00,99.99,,,,,,*7F
20181726-14:17:26:059743011 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:26:064683636 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:26:159328948 $GPGSV,2,1,05,02,,,35,05,,,33,06,,,31,12,,,40*7D
20181726-14:17:26:164320979 $GPGSV,2,2,05,13,,,42*78
20181726-14:17:26:169195667 $GLGSV,1,1,01,,,,31*66
20181726-14:17:26:425128792 $GNGLL,,,,,033250.00,V,N*53
20181726-14:17:26:429825198 $GNZDA,033250.00,26,01,2018,00,00*71
20181726-14:17:26:950622802 $GNRMC,033251.00,V,,,,,,,260118,,,N*69
20181726-14:17:26:955639521 $GNVTG,,,,,,,,,N*2E
20181726-14:17:27:054459885 $GNGGA,033251.00,,,,,0,00,99.99,,,,,,*7E
20181726-14:17:27:059124781 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:27:064035562 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:27:160073167 $GPGSV,2,1,05,02,,,39,05,,,36,06,,,33,12,,,39*78
20181726-14:17:27:164998062 $GPGSV,2,2,05,13,,,40*7A
20181726-14:17:27:169917437 $GLGSV,1,1,01,,,,33*64
20181726-14:17:27:425102073 $GNGLL,,,,,033251.00,V,N*52
20181726-14:17:27:429815250 $GNZDA,033251.00,26,01,2018,00,00*70
