20184526-13:45:09:410849418 ,024016.00,26,01,2018,00,00*77
20184526-13:45:09:415884938 $GNRMC,024017.00,V,,,,,,,260118,,,N*6F
20184526-13:45:09:420649209 $GNVTG,,,,,,,,,N*2E
20184526-13:45:09:425448063 $GNGGA,024017.00,,,,,0,00,99.99,,,,,,*78
20184526-13:45:09:430336866 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:09:435117647 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:09:440040824 $GPGSV,2,1,06,02,,,35,05,,,34,06,,,30,19,,,40*73
20184526-13:45:09:444708011 $GPGSV,2,2,06,20,,,34,29,,,29*7A
20184526-13:45:09:572178168 $GLGSV,1,1,02,,,,31,,,,40*61
20184526-13:45:09:576710511 $GNGLL,,,,,024017.00,V,N*54
20184526-13:45:09:581603897 $GNZDA,024017.00,26,01,2018,00,00*76
20184526-13:45:10:084124001 $GNRMC,024018.00,V,,,,,,,260118,,,N*60
20184526-13:45:10:088951397 $GNVTG,,,,,,,,,N*2E
20184526-13:45:10:188117022 $GNGGA,024018.00,,,,,0,00,99.99,,,,,,*77
20184526-13:45:10:192944626 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:10:197587959 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:10:292432230 $GPGSV,2,1,06,02,,,38,05,,,34,06,,,33,19,,,40*7D
20184526-13:45:10:297162334 $GPGSV,2,2,06,20,,,33,29,,,27*73
20184526-13:45:10:572306396 $GLGSV,1,1,02,,,,30,,,,38*6F
20184526-13:45:10:577152230 $GNGLL,,,,,024018.00,V,N*5B
20184526-13:45:10:582167490 $GNZDA,024018.00,26,01,2018,00,00*79
20184526-13:45:11:094182802 $GNRMC,024019.00,V,,,,,,,260118,,,N*61
20184526-13:45:11:099136136 $GNVTG,,,,,,,,,N*2E
20184526-13:45:11:198080354 $GNGGA,024019.00,,,,,0,00,99.99,,,,,,*76
20184526-13:45:11:202977177 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:11:207921188 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:11:302405250 $GPGSV,2,1,06,02,,,36,05,,,34,06,,,36,19,,,40*76
20184526-13:45:11:307488844 $GPGSV,2,2,06,20,,,34,29,,,26*75
20184526-13:45:11:582090250 $GLGSV,1,1,02,,,,32,,,,32*67
