20181726-14:17:20:114823221 $GNRMC,034250.00,V,,,,,,,260118,,,N*6F
20181726-14:17:20:120512336 $GNVTG,,,,,,,,,N*2E
20181726-14:17:20:215536294 $GNGGA,034250.00,,,,,0,00,99.99,,,,,,*78
20181726-14:17:20:220531919 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:20:225641555 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:20:317842961 $GPGSV,1,1,04,02,,,28,05,,,34,12,,,33,13,,,36*73
20181726-14:17:20:320693690 $GLGSV,1,1,00*65
20181726-14:17:20:323315148 $GNGLL,,,,,034250.00,V,N*54
20181726-14:17:20:547312232 $GNZDA,034250.00,26,01,2018,00,00*76
20181726-14:17:21:105780252 $GNRMC,034251.00,V,,,,,,,260118,,,N*6E
20181726-14:17:21:110461242 $GNVTG,,,,,,,,,N*2E
20181726-14:17:21:210263742 $GNGGA,034251.00,,,,,0,00,99.99,,,,,,*79
20181726-14:17:21:215724263 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:21:221958273 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:21:313655669 $GPGSV,1,1,04,02,,,30,05,,,34,12,,,34,13,,,36*7D
20181726-14:17:21:318439054 $GLGSV,1,1,01,,,,33*64
20181726-14:17:21:323299731 $GNGLL,,,,,034251.00,V,N*55
20181726-14:17:21:558928377 $GNZDA,034251.00,26,01,2018,00,00*77
20181726-14:17:22:109152596 $GNRMC,034252.00,V,,,,,,,260118,,,N*6D
20181726-14:17:22:113988846 $GNVTG,,,,,,,,,N*2E
20181726-14:17:22:212755460 $GNGGA,034252.00,,,,,0,00,99.99,,,,,,*7A
20181726-14:17:22:218313846 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:22:223884158 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:22:317368325 $GPGSV,1,1,04,02,,,32,05,,,34,12,,,37,13,,,35*7F
20181726-14:17:22:322295148 $GLGSV,1,1,01,,,,34*63
20181726-14:17:22:327301971 $GNGLL,,,,,034252.00,V,N*56
20181726-14:17:22:559069002 $GNZDA,034252.00,26,01,2018,00,00*74
20181726-14:17:23:104936918 $GNRMC,034253.00,V,,,,,,,260118,,,N*6C
20181726-14:17:23:109819783 $GNVTG,,,,,,,,,N*2E
20181726-14:17:23:210675981 $GNGGA,034253.00,,,,,0,00,99.99,,,,,,*7B
20181726-14:17:23:215750876 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
