20181930-20:19:06:240715045 $GNRMC,022728.00,V,,,,,,,310118,,,N*64
20181930-20:19:06:246462805 $GNVTG,,,,,,,,,N*2E
20181930-20:19:06:343790097 $GNGGA,022728.00,,,,,0,00,99.99,,,,,,*75
20181930-20:19:06:349017909 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:06:354173899 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:06:447885461 $GPGSV,2,1,05,02,,,39,05,,,43,12,,,39,19,,,32*75
20181930-20:19:06:452724732 $GPGSV,2,2,05,29,,,33*77
20181930-20:19:06:457814576 $GLGSV,1,1,02,,,,36,,,,40*66
20181930-20:19:06:722530305 $GNGLL,,,,,022728.00,V,N*59
20181930-20:19:06:728239263 $GNZDA,022728.00,31,01,2018,00,00*7D
20181930-20:19:07:250439940 $GNRMC,022729.00,V,,,,,,,310118,,,N*65
20181930-20:19:07:255881919 $GNVTG,,,,,,,,,N*2E
20181930-20:19:07:355680773 $GNGGA,022729.00,,,,,0,00,99.99,,,,,,*74
20181930-20:19:07:360867753 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:07:366126190 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:07:459977648 $GPGSV,2,1,05,02,,,39,05,,,44,12,,,35,19,,,30*7C
20181930-20:19:07:465018065 $GPGSV,2,2,05,29,,,32*76
20181930-20:19:07:743085565 $GLGSV,1,1,03,,,,37,,,,40,,,,35*60
20181930-20:19:07:748045304 $GNGLL,,,,,022729.00,V,N*58
20181930-20:19:07:752952648 $GNZDA,022729.00,31,01,2018,00,00*7C
20181930-20:19:08:241443221 $GNRMC,022730.00,V,,,,,,,310118,,,N*6D
20181930-20:19:08:246950148 $GNVTG,,,,,,,,,N*2E
20181930-20:19:08:345811867 $GNGGA,022730.00,,,,,0,00,99.99,,,,,,*7C
20181930-20:19:08:350965617 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:08:356119210 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:08:449908690 $GPGSV,2,1,05,02,,,41,05,,,45,12,,,38,19,,,27*79
20181930-20:19:08:454690304 $GPGSV,2,2,05,29,,,32*76
20181930-20:19:08:732982752 $GLGSV,1,1,03,,,,37,,,,39,,,,36*6D
20181930-20:19:08:738155617 $GNGLL,,,,,022730.00,V,N*50
20181930-20:19:08:743337804 $GNZDA,022730.00,31,01,2018,00,00*74
20181930-20:19:09:180464054 $GNRMC,022731.00,V,,,,,,,310118,,,N*6C
20181930-20:19:09:185637752 $GNVTG,,,,,,,,,N*2E
20181930-20:19:09:283954106 $GNGGA,022731.00,,,,,0,00,99.99,,,,,,*7D
20181930-20:19:09:288954523 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:09:293779523 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:09:388550773 $GPGSV,2,1,05,02,,,41,05,,,45,12,,,36,19,,,26*76
20181930-20:19:09:393326450 $GPGSV,2,2,05,29,,,32*76
20181930-20:19:09:672557752 $GLGSV,1,1,03,,,,35,,,,40,,,,36*61
20181930-20:19:09:677405408 $GNGLL,,,,,022731.00,V,N*51
20181930-20:19:09:682243845 $GNZDA,022731.00,31,01,2018,00,00*75
20181930-20:19:10:238834522 $GNRMC,022732.00,V,,,,,,,310118,,,N*6F
20181930-20:19:10:243990824 $GNVTG,,,,,,,,,N*2E
20181930-20:19:10:342862595 $GNGGA,022732.00,,,,,0,00,99.99,,,,,,*7E
20181930-20:19:10:347967022 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:10:353285043 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
